"FRAME","SYSTEM","HBONDS"
1,"HBONDS",0
2,"HBONDS",0
3,"HBONDS",0
4,"HBONDS",0
5,"HBONDS",0
6,"HBONDS",0
7,"HBONDS",0
8,"HBONDS",0
9,"HBONDS",0
10,"HBONDS",0
11,"HBONDS",1
12,"HBONDS",0
13,"HBONDS",0
14,"HBONDS",0
15,"HBONDS",0
16,"HBONDS",0
17,"HBONDS",0
18,"HBONDS",0
19,"HBONDS",0
20,"HBONDS",0
21,"HBONDS",0
22,"HBONDS",0
23,"HBONDS",0
24,"HBONDS",0
25,"HBONDS",0
26,"HBONDS",0
27,"HBONDS",1
28,"HBONDS",0
29,"HBONDS",0
30,"HBONDS",0
31,"HBONDS",0
32,"HBONDS",0
33,"HBONDS",0
34,"HBONDS",0
35,"HBONDS",0
36,"HBONDS",0
37,"HBONDS",0
38,"HBONDS",0
39,"HBONDS",0
40,"HBONDS",0
41,"HBONDS",0
42,"HBONDS",0
43,"HBONDS",0
44,"HBONDS",1
45,"HBONDS",0
46,"HBONDS",0
47,"HBONDS",0
48,"HBONDS",0
49,"HBONDS",0
50,"HBONDS",0
51,"HBONDS",0
52,"HBONDS",0
53,"HBONDS",0
54,"HBONDS",1
55,"HBONDS",0
56,"HBONDS",0
57,"HBONDS",0
58,"HBONDS",0
59,"HBONDS",0
60,"HBONDS",0
61,"HBONDS",0
62,"HBONDS",0
63,"HBONDS",0
64,"HBONDS",0
65,"HBONDS",0
66,"HBONDS",0
67,"HBONDS",0
68,"HBONDS",0
69,"HBONDS",0
70,"HBONDS",0
71,"HBONDS",0
72,"HBONDS",0
73,"HBONDS",0
74,"HBONDS",1
75,"HBONDS",0
76,"HBONDS",0
77,"HBONDS",0
78,"HBONDS",0
79,"HBONDS",0
80,"HBONDS",0
81,"HBONDS",0
82,"HBONDS",0
83,"HBONDS",0
84,"HBONDS",0
85,"HBONDS",1
86,"HBONDS",1
87,"HBONDS",0
88,"HBONDS",0
89,"HBONDS",0
90,"HBONDS",0
91,"HBONDS",0
92,"HBONDS",0
93,"HBONDS",0
94,"HBONDS",0
95,"HBONDS",0
96,"HBONDS",0
97,"HBONDS",0
98,"HBONDS",0
99,"HBONDS",0
100,"HBONDS",0
101,"HBONDS",0
102,"HBONDS",0
103,"HBONDS",0
104,"HBONDS",0
105,"HBONDS",1
106,"HBONDS",0
107,"HBONDS",0
108,"HBONDS",0
109,"HBONDS",0
110,"HBONDS",0
111,"HBONDS",0
112,"HBONDS",0
113,"HBONDS",0
114,"HBONDS",0
115,"HBONDS",0
116,"HBONDS",0
117,"HBONDS",0
118,"HBONDS",0
119,"HBONDS",0
120,"HBONDS",1
121,"HBONDS",0
122,"HBONDS",0
123,"HBONDS",0
124,"HBONDS",0
125,"HBONDS",0
126,"HBONDS",0
127,"HBONDS",0
128,"HBONDS",0
129,"HBONDS",0
130,"HBONDS",1
131,"HBONDS",1
132,"HBONDS",0
133,"HBONDS",0
134,"HBONDS",0
135,"HBONDS",0
136,"HBONDS",0
137,"HBONDS",0
138,"HBONDS",0
139,"HBONDS",0
140,"HBONDS",0
141,"HBONDS",0
142,"HBONDS",0
143,"HBONDS",0
144,"HBONDS",0
145,"HBONDS",0
146,"HBONDS",0
147,"HBONDS",0
148,"HBONDS",0
149,"HBONDS",0
150,"HBONDS",0
151,"HBONDS",0
152,"HBONDS",0
153,"HBONDS",0
154,"HBONDS",0
155,"HBONDS",0
156,"HBONDS",0
157,"HBONDS",0
158,"HBONDS",0
159,"HBONDS",0
160,"HBONDS",0
161,"HBONDS",0
162,"HBONDS",0
163,"HBONDS",0
164,"HBONDS",0
165,"HBONDS",0
166,"HBONDS",0
167,"HBONDS",0
