FRAME, xAxis, yAxis, zAxis
1,2.8654450928590314e-6,1.653473500526314e-6,0
2,-0.688475838753476,0.08133847023114901,0
3,-2.228031627711408,-1.7651621498188954,2
4,-2.3697317196689136,-4.303571026084179,0
5,-3.079778640855895,-6.520900397743438,1
6,-0.9100993963156556,-8.57795525681196,0
7,-2.998441099782622,-7.120383527756053,0
8,-3.697400666011155,-6.579267321051194,-4
9,-2.7359776043290633,-4.5831910165834735,-4
10,-3.003788214541837,-2.890924231679436,-5
11,-3.6411408945264148,-3.757954956888358,-2
12,-2.8025929171066717,-4.5275228293684675,-1
13,-3.734489875420782,-4.238274029559752,-3
14,-3.309960701568277,-3.551493950591426,-9
15,-3.4516615735139244,-4.362695729877653,-11
16,-3.9372788921230972,-4.263210213308159,-13
17,-6.239281760364801,-3.408031685110185,-13
18,-6.3358470192929754,-3.3991982981564464,-14
19,-7.9992223205214374,-2.7722860803827984,-19
20,-9.080030185848988,-3.5468960057604337,-20
21,-8.925047378954023,-4.437386983353846,-17
22,-9.503426002451512,-5.754773885679979,-21
23,-7.971251074758067,-5.146339041768074,-20
24,-9.833461480574465,-4.271092544040051,-22
25,-8.64523210518096,-2.3965470065446475,-24
26,-9.594858592560724,-4.274161163507443,-25
27,-10.086789233676969,-3.2895966348489614,-22
28,-11.59671247866634,-3.329277530971777,-21
29,-11.923653814138635,-5.227520478524225,-24
30,-11.183520976871593,-6.41858346038268,-24
31,-9.284436710490613,-7.1555609976727075,-27
32,-7.595882762927186,-3.964003665098896,-23
33,-7.289249817692507,-4.984067314645006,-21
34,-5.256387364772022,-4.3291552699662414,-24
35,-5.5778425557578695,-4.268660343852195,-26
36,-5.06557183501668,-3.810557795754484,-26
37,-5.9304450974623855,-3.991357980817176,-28
38,-7.3277381756392295,-6.838517829271397,-24
39,-7.5866999672008175,-8.673846128441493,-21
40,-9.824089112234251,-7.334784897938855,-23
41,-10.193471309460318,-5.495096726369265,-24
42,-9.81843027845333,-4.357198979608827,-24
43,-9.721959846344841,-3.954113851937688,-25
44,-11.303922747077486,-5.2339994039201585,-22
45,-10.30991376997012,-5.026588324248953,-19
46,-8.922727822969001,-5.437819313795714,-19
47,-7.196177165737758,-5.993302659151883,-14
48,-5.468594659099646,-5.1798828873781035,-15
49,-4.65884953735844,-2.4406795349455845,-13
50,-7.800974469214803,-1.4104252187673962,-17
51,-8.81227567431484,-2.138540188154239,-16
52,-10.353333280446478,-0.803720324305488,-14
53,-12.071413925840135,-1.2379209044421484,-17
54,-12.350615526017057,-0.5382055239818279,-17
55,-11.539765140217442,0.13322924349665816,-15
56,-10.670012159736578,-1.1217775105246846,-16
57,-12.486513815041336,-0.04916260026170646,-17
58,-12.112368410875764,-0.6848218598326384,-20
59,-11.242592146808155,-1.5817879262285501,-21
60,-12.69627968088641,-0.7597912824880917,-20
61,-16.119488083797393,-1.9939921896940414,-19
62,-18.028842153389327,-4.779121059216955,-25
63,-18.227090825801877,-5.674442500832366,-26
64,-18.70530185646077,-3.6879919588251195,-27
65,-21.296914334851877,-6.236888718521588,-26
66,-19.349154805863794,-4.750130815986953,-25
67,-19.67778009488545,-5.307134286686083,-22
68,-20.70835947123285,-8.120921313701041,-24
69,-21.244310786036774,-8.044084322916257,-19
70,-20.75618068923362,-7.734732409598488,-21
71,-20.472050036345827,-7.5034804106582325,-19
72,-20.90357062124035,-8.962512792606832,-19
73,-23.032112834368274,-8.535674158528472,-21
74,-22.21622695637262,-8.420505289429622,-18
75,-20.692850128488363,-6.3374633831325236,-17
76,-20.26841513981764,-5.615558661154938,-16
77,-19.87189485687749,-5.26861850689493,-16
78,-18.806719844835243,-5.515921739715533,-16
79,-17.586261077758113,-5.989566181831722,-16
80,-18.934933142675536,-8.126848774244197,-15
81,-20.26318370531603,-8.906970283894196,-14
82,-19.027494423620833,-8.890474194724256,-13
83,-18.54393130828125,-9.872563366302176,-13
84,-19.523832703284953,-10.128694042981909,-16
85,-18.89827831074689,-12.775068343108915,-15
86,-17.931248515190703,-13.24908942425655,-14
87,-17.618880608755553,-10.693094660568859,-11
88,-14.955889330635713,-8.39606365971872,-11
89,-14.201183619623706,-8.055319679549502,-13
90,-14.61481684345819,-7.904099400419469,-12
91,-13.195256712356306,-6.975103977209714,-13
92,-13.564379619701871,-6.180760119684644,-14
93,-13.047703845176104,-6.605281306237904,-15
94,-12.547164901699094,-7.2788504097281725,-21
95,-11.492344441061515,-7.367566972153682,-17
96,-14.583375901151712,-8.25720024192034,-16
97,-15.973398743003889,-7.911058129312623,-16
98,-16.740164540215286,-9.584657339364357,-16
99,-17.020777983731115,-8.466911465628982,-15
100,-18.827282260544738,-8.70603064999613,-18
101,-19.926560894053384,-6.987217950897491,-19
102,-18.528188251353892,-6.2812751524253185,-19
103,-18.133214721781904,-7.589083412622732,-19
104,-16.628868183071624,-7.673095992386098,-21
105,-19.405935830203113,-7.69201735828403,-18
106,-18.71277186524319,-5.029080691737573,-18
107,-16.654087461869313,-5.749464541326935,-19
108,-17.872292539160522,-7.02846407284969,-19
109,-16.953823590326927,-7.905289505675701,-21
110,-16.26380675801434,-7.857836160517107,-20
111,-16.29256905571893,-7.515541079265737,-21
112,-13.441772083157085,-8.282268145448043,-22
113,-14.40213513803159,-9.374406234898554,-23
114,-14.444070145523881,-7.891837221105185,-21
115,-14.330794357193993,-7.179118063716264,-25
116,-15.145643696027534,-5.982060857187637,-28
117,-17.903985151084452,-6.0184971725456355,-34
118,-16.854946421165675,-5.342906261457233,-32
119,-16.690812231979464,-5.4130988385805505,-32
120,-18.046453769020978,-5.531157272393668,-33
121,-20.483643972424996,-6.681900887661846,-35
122,-22.438208890896846,-7.647745744838594,-33
123,-25.00646284065407,-7.762350268988783,-30
124,-24.30642459400795,-6.603607160511763,-30
125,-24.61921273314132,-5.4416936593045655,-31
126,-26.558374304800164,-5.993513758692114,-34
127,-26.9847289223106,-7.65941236644301,-34
128,-28.047810975416276,-7.102785073930017,-33
129,-28.66331365656052,-8.001854876960397,-35
130,-26.776273081669785,-8.51718738684484,-35
131,-27.2282045381379,-8.418645453527644,-35
132,-27.22427476274076,-10.571953950227053,-35
133,-25.0632052231303,-11.144932673749192,-36
134,-24.02703398657394,-9.404719948683814,-35
135,-21.99701775160192,-6.858426102156074,-37
136,-20.307338499465118,-5.611377261667864,-35
137,-19.286724760290436,-5.225557894792653,-32
138,-17.8934325620447,-5.66495959782742,-33
139,-16.75679286634369,-3.991814824089831,-32
140,-15.160808703247142,-3.536075163085337,-29
141,-15.041194785675904,-4.4943526364211674,-27
142,-14.675197453026707,-6.0076341861806535,-28
143,-12.219213751435296,-3.4536047155258975,-24
144,-10.853913539193647,-2.8688435099038205,-24
145,-11.351191993566454,-4.545193255918772,-22
146,-11.824895847242786,-2.677758450846642,-27
147,-11.185408803993838,-1.6101693592404844,-26
148,-10.195345670911836,-2.649201743766233,-26
149,-8.394306434660471,-2.83247815623612,-25
150,-10.324574095590055,-2.3868763061442806,-28
151,-12.915108993265003,-3.0176210268844277,-28
152,-13.654333594873341,-2.8677944675315215,-31
153,-14.208407901075,-1.8193564922159071,-30
154,-15.385487733531765,-1.9020227190928067,-31
155,-14.249960540793817,-0.9268176122388936,-31
156,-16.445012282194252,-2.0115366009525713,-32
157,-17.664383866614145,-2.0935148118940496,-32
158,-16.280933877500537,-0.7100592520966098,-31
159,-13.840294101728462,0.6643309705513673,-29
160,-12.554546029197239,-0.6906304609293722,-27
161,-12.987728235762377,-0.3593949792215632,-27
162,-12.005490293263165,-1.3194194947333568,-24
163,-15.175181066999702,-2.115738152201218,-26
164,-14.452768768328253,-2.503523915858963,-26
165,-16.308140430031965,-2.2502171336826096,-28
